Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress ScoreÂ®,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-06-07 09:34:15,false,"County Galway Running","5.06","234","00:21:30","174","206","174","190","4:15","3:35","60","55","1.35","0.0","3,726","No","00:00:40.9","6","00:21:03","00:21:30","6","22"
Running,2025-05-20 08:57:07,false,"County Galway Running","9.86","521","01:00:13","153","168","165","190","6:06","5:08","43","47","0.99","0.0","10,096","No","00:04:34.6","10","00:57:42","01:01:10","46","70"
Running,2025-05-19 08:21:24,false,"County Galway Running","5.19","268","00:31:19","148","169","165","211","6:02","4:05","7","7","1.00","0.0","5,278","No","00:00:58.9","6","00:29:52","00:31:19","46","53"
Running,2025-05-16 10:00:52,false,"County Galway Running","4.93","219","00:20:07","174","193","176","199","4:05","2:53","12","12","1.39","0.0","3,548","No","00:03:46.2","5","00:20:06","00:20:07","41","55"
Running,2025-05-10 08:52:08,false,"County Galway Running","6.43","313","00:37:35","144","172","137","208","5:51","3:27","25","23","1.20","0.0","5,352","No","00:02:00","12","00:30:38","00:37:36","31","53"
Running,2025-04-24 09:29:29,false,"County Galway Running","3.95","201","00:23:29","149","162","172","190","5:57","3:45","3","3","0.97","0.0","4,130","No","00:05:04.6","4","00:23:20","00:23:29","46","52"
Running,2025-04-15 09:03:58,false,"County Galway Running","2.69","133","00:15:52","155","167","177","192","5:53","3:52","11","30","0.96","0.0","2,834","No","00:03:55.1","3","00:15:51","00:15:52","18","38"
Running,2025-02-19 08:33:09,false,"County Galway Running","5.23","262","00:37:38","138","171","141","222","7:12","3:17","17","19","0.97","0.0","5,566","No","00:00:43.3","24","00:35:30","00:41:57","44","53"
Running,2025-02-18 09:39:11,false,"County Galway Running","10.00","508","01:06:10","143","162","167","234","6:37","2:53","51","52","0.91","0.0","11,274","No","00:05:59.3","10","01:04:53","01:06:10","46","87"
Running,2025-01-20 16:08:03,false,"County Galway Running","4.65","224","00:21:58","158","170","178","203","4:43","3:14","9","8","1.19","0.0","3,926","No","00:02:40.8","5","00:21:57","00:21:58","46","53"
Running,2025-01-17 15:38:14,false,"County Galway Running","8.01","416","00:49:59","146","161","168","211","6:15","2:22","31","31","0.95","0.0","8,610","No","00:00:01.4","9","00:49:02","00:49:59","46","70"
Running,2025-01-10 15:31:16,false,"County Galway - Tempo Run","11.11","540","01:00:01","153","171","161","200","5:24","3:21","40","42","1.12","0.0","9,924","No","00:00:01.0","27","00:56:54","01:00:01","29","53"
Running,2024-12-30 09:56:53,false,"County Galway Running","5.01","246","00:25:10","161","171","181","190","5:01","4:17","15","17","1.10","0.0","4,546","No","00:00:01.9","6","00:25:02","00:25:10","46","63"
Running,2024-12-13 15:46:59,false,"County Galway - Tempo Run","10.30","489","00:54:01","145","170","168","200","5:15","3:33","34","40","1.12","0.0","9,094","No","00:00:01.2","23","00:53:41","00:54:01","29","53"
Running,2024-12-08 10:12:58,false,"County Galway - Tempo Run","9.92","479","00:54:01","147","168","170","205","5:27","2:50","29","35","1.07","0.0","9,222","No","00:00:01.4","23","00:53:23","00:54:32","29","53"
Running,2024-12-06 15:47:19,false,"County Galway - Interval Run","12.24","561","01:06:01","146","166","169","208","5:24","2:32","42","42","1.08","0.0","11,242","No","00:00:01.1","43","01:05:41","01:06:01","29","53"
Running,2024-11-29 15:56:51,false,"County Galway - Interval Run","11.51","554","01:01:57","153","170","177","189","5:23","4:18","68","68","1.05","0.0","10,868","No","00:00:20","45","01:01:54","01:01:57","46","87"
Running,2024-11-26 10:20:08,false,"County Galway - Tempo Run","10.58","516","00:56:35","156","174","173","208","5:21","2:56","45","47","1.08","0.0","9,918","No","00:00:45","28","00:55:19","00:57:09","46","80"
Running,2024-11-24 09:10:13,false,"County Galway - Fartlek Run","11.34","587","01:02:02","154","173","176","195","5:28","4:31","48","49","1.03","0.0","11,084","No","00:00:02.1","23","01:01:22","01:02:02","46","70"
Running,2024-11-10 09:30:17,false,"County Galway - Fartlek Run","11.61","578","01:02:01","156","180","181","234","5:21","4:15","36","39","1.04","0.0","11,162","No","00:00:01.4","23","01:01:58","01:02:01","29","53"
Running,2024-11-01 09:06:08,false,"County Galway - Interval Run","9.03","706","00:50:02","158","171","178","200","5:32","3:14","49","49","1.02","0.0","8,840","No","00:00:02.5","27","00:49:59","00:50:02","46","87"
Running,2024-10-29 09:02:23,false,"County Galway Running","21.17","1,706","02:10:50","150","167","175","188","6:11","4:25","155","151","0.92","0.0","23,076","No","00:03:00.3","22","02:09:58","02:10:50","33","100"
Running,2024-10-28 07:53:51,false,"County Galway Running","3.50","283","00:23:20","142","162","162","242","6:40","2:57","13","10","0.92","0.0","3,878","No","00:03:01.4","4","00:23:18","00:23:20","46","57"
Running,2024-10-28 07:39:06,false,"County Galway - Fitness Test","1.89","151","00:13:34","123","170","110","223","7:10","3:11","3","5","1.18","0.0","1,738","No","00:00:02.1","4","00:11:20","00:13:56","46","53"
Running,2024-10-19 12:02:06,false,"County Donegal Running","5.80","409","00:25:01","148","162","180","196","4:19","3:32","56","56","1.29","0.0","4,452","No","00:03:33.1","6","00:24:59","00:25:01","26","68"
Running,2024-09-23 08:17:22,false,"County Galway Running","5.01","399","00:27:59","153","167","184","194","5:35","4:21","11","12","0.97","0.0","5,172","No","00:00:01.3","6","00:27:49","00:27:59","46","63"
Running,2024-09-10 06:26:10,false,"County Galway - Fitness Test","1.86","183","00:13:43","140","178","119","221","7:22","2:36","4","2","1.04","0.0","1,724","No","00:00:08.3","4","00:10:39","00:13:43","48","53"
Running,2024-09-01 18:57:31,false,"County Galway Running","10.56","868","01:06:06","156","173","172","227","6:16","2:51","37","37","0.93","0.0","11,578","No","00:03:18.9","11","01:06:04","01:06:06","29","53"
Running,2024-08-05 20:14:58,false,"County Galway Running","5.08","266","00:33:55","146","159","176","188","6:41","5:17","16","16","0.85","0.0","5,948","No","00:00:31.6","6","00:33:54","00:33:55","46","63"
Running,2024-08-02 08:52:23,false,"County Galway Running","2.70","124","00:14:42","145","163","178","194","5:26","3:35","6","10","1.07","0.0","2,540","No","00:00:03.8","31","00:14:37","00:14:46","44","51"
Running,2024-07-31 08:55:20,false,"County Galway Running","6.52","343","00:39:08","155","168","177","197","6:00","5:07","47","46","0.94","0.0","6,922","No","00:03:12.2","7","00:39:04","00:39:08","46","87"
Running,2024-07-29 08:53:02,false,"County Galway Running","5.01","257","00:28:18","155","169","178","211","5:39","4:17","5","6","0.99","0.0","5,072","No","00:00:01.4","6","00:28:15","00:28:18","43","51"
Running,2024-07-28 07:53:28,false,"County Galway Running","2.86","145","00:19:33","133","154","133","224","6:50","2:57","9","9","1.11","0.0","2,866","No","00:05:56.5","3","00:19:21","00:19:33","44","52"
Running,2024-07-26 09:46:52,false,"County Galway Running","3.86","208","00:25:04","150","164","170","183","6:29","4:05","14","19","0.90","0.0","4,334","No","00:05:43.9","4","00:24:59","00:25:04","42","52"
Running,2024-07-22 08:39:25,false,"County Galway Running","5.01","258","00:30:19","151","172","175","202","6:03","3:06","18","20","0.94","0.0","5,326","No","00:00:02.0","6","00:30:18","00:30:19","46","63"
Running,2024-07-20 08:44:55,false,"County Galway Running","4.31","199","00:33:06","112","151","116","233","7:40","2:30","11","7","1.15","0.0","4,334","No","00:00:26.8","19","00:29:42","00:33:08","44","53"
Running,2024-07-15 10:43:10,false,"County Galway Running","3.01","152","00:17:12","141","166","177","201","5:42","4:24","7","9","0.99","0.0","3,066","No","00:00:04.1","4","00:17:05","00:17:12","44","52"
Running,2024-07-06 12:16:32,false,"County Donegal Running","8.00","402","00:52:00","144","156","169","178","6:30","4:29","26","76","0.91","0.0","8,750","No","00:00:00.4","9","00:51:58","00:52:00","1","56"
Running,2024-07-05 07:50:01,false,"County Galway Running","9.03","457","00:49:36","146","162","174","195","5:30","3:38","28","22","1.05","0.0","8,684","No","00:02:10.7","10","00:49:11","00:49:36","33","60"
Running,2024-07-03 08:01:05,false,"County Galway Running","6.05","325","00:37:03","154","165","170","188","6:08","3:57","24","26","0.96","0.0","6,368","No","00:00:14.1","7","00:36:30","00:37:07","46","70"
Running,2024-07-01 08:45:40,false,"County Galway Running","6.01","322","00:37:08","146","161","176","190","6:11","5:25","17","16","0.92","0.0","6,592","No","00:00:01.4","7","00:37:01","00:37:08","46","64"
Running,2024-06-26 08:11:46,false,"Pozzuoli Running","5.24","259","00:29:04","152","166","174","183","5:32","4:40","31","27","1.04","0.0","5,106","No","00:01:22.0","6","00:28:51","00:29:04","--","22"
Running,2024-06-18 07:46:59,false,"County Galway Running","5.01","273","00:34:11","146","161","158","226","6:50","0:48","20","19","0.93","0.0","5,646","No","00:00:02.5","6","00:33:12","00:34:12","46","63"
Running,2024-06-13 16:35:10,false,"County Galway Running","5.00","265","00:29:26","157","172","173","185","5:53","4:45","16","15","0.98","0.0","5,108","No","00:00:00.9","6","00:29:26","00:29:26","46","63"
Running,2024-06-11 08:39:19,false,"County Galway Running","4.70","255","00:27:19","156","168","172","191","5:49","3:29","15","14","1.00","0.0","4,792","No","00:04:00.4","5","00:27:06","00:27:19","46","63"
Running,2024-06-09 15:07:11,false,"County Galway Running","4.21","221","00:24:53","149","161","171","233","5:54","4:15","3","3","0.99","0.0","4,310","No","00:01:09.9","5","00:24:52","00:24:53","46","52"
Running,2024-06-04 08:07:56,false,"County Galway Running","4.14","220","00:24:41","153","165","177","193","5:58","4:59","--","--","0.95","0.0","4,374","No","00:00:43.9","5","00:24:35","00:24:59","46","51"
Running,2024-06-02 18:42:15,false,"County Galway Running","3.82","209","00:21:54","146","164","172","185","5:44","4:54","4","3","1.01","0.0","3,800","No","00:04:34.0","4","00:21:50","00:21:56","46","53"
Running,2024-05-06 06:55:59,false,"County Galway Running","2.82","130","00:12:01","154","167","186","197","4:15","3:38","5","7","1.27","0.0","2,232","No","00:03:34.9","3","00:11:59","00:12:07","44","53"
Running,2024-05-05 10:57:35,false,"County Galway Running","2.90","134","00:12:01","183","197","184","195","4:08","3:25","6","7","1.31","0.0","2,196","No","00:03:42.7","3","00:12:00","00:12:06","45","53"
Running,2024-04-23 19:45:38,false,"County Galway Running","7.85","416","00:48:10","153","172","174","194","6:08","3:20","48","49","0.93","0.0","8,388","No","00:04:31.3","8","00:47:57","00:49:17","46","87"
Running,2024-04-13 14:12:27,false,"County Galway Running","2.85","122","00:12:00","156","169","187","200","4:13","3:19","5","5","1.27","0.0","2,272","No","00:03:43.3","3","00:11:55","00:12:00","45","53"
Running,2024-03-28 08:31:54,false,"County Galway Running","5.01","240","00:23:37","153","169","181","200","4:43","3:16","36","27","1.17","0.0","4,296","No","00:00:01.7","6","00:23:36","00:23:37","25","42"
Running,2024-03-25 06:10:33,false,"County Galway Running","5.08","253","00:24:53","150","168","175","197","4:54","3:49","3","2","1.17","0.0","4,362","No","00:01:19.3","6","00:23:59","00:24:53","46","53"
Running,2024-03-12 17:46:08,false,"County Galway - Base","5.03","237","00:23:00","158","171","182","197","4:34","3:33","10","10","1.20","0.0","4,194","No","00:00:06.4","6","00:22:58","00:23:00","46","53"
Running,2024-03-09 07:10:17,false,"County Galway Running","4.86","227","00:23:19","157","173","184","211","4:48","2:49","5","3","1.13","0.0","4,282","No","00:03:56.1","5","00:23:14","00:23:19","46","53"
Running,2024-03-02 07:10:17,false,"County Galway Running","5.02","241","00:24:25","153","167","182","220","4:52","3:51","7","5","1.13","0.0","4,448","No","00:00:03.9","6","00:24:25","00:24:25","46","53"
Running,2024-02-16 06:56:08,false,"County Galway Running","5.01","249","00:24:39","157","167","180","192","4:55","3:43","8","8","1.13","0.0","4,476","No","00:00:02.7","6","00:24:33","00:24:39","46","53"
Running,2023-11-13 16:30:48,false,"County Galway - Base","0.73","27","00:02:51.8","134","152","176","197","3:57","2:51","--","--","1.44","0.0","514","No","00:02:51.8","1","00:02:39","00:02:51.8","48","53"
Running,2023-08-11 07:15:35,false,"County Galway - Base","4.59","189","00:21:10","143","168","175","193","4:37","3:29","3","3","1.25","0.0","3,736","No","00:02:41.4","5","00:20:49","00:21:11","46","53"
